datetime,rank,dex,pair,tvl,apr,score
2025-05-30 15:14:51,1,beefy,NOICE-WETH,29510.0,77947.89975,38973.95
2025-05-30 15:14:51,2,spectra-v2,STUSD,132448.0,54046.60003,27023.3
2025-05-30 15:14:51,3,berapaw,BULLISHV2,31298.0,29049.76597,14524.88
2025-05-30 15:21:01,1,beefy,NOICE-WETH,29510.0,77947.89975,23384.37
2025-05-30 15:21:01,2,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-30 15:21:01,3,berapaw,BULLISHV2,31298.0,29049.76597,8714.93
2025-05-30 15:23:08,1,beefy,NOICE-WETH,28356.0,60877.66285,18263.3
2025-05-30 15:23:08,2,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-30 15:23:08,3,berapaw,BULLISHV2,31116.0,29659.32257,8897.8
2025-05-30 15:23:39,1,beefy,NOICE-WETH,28356.0,60877.66285,18263.3
2025-05-30 15:23:39,2,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-30 15:23:39,3,berapaw,BULLISHV2,31116.0,29659.32257,8897.8
2025-05-30 15:24:09,1,beefy,NOICE-WETH,28356.0,60877.66285,18263.3
2025-05-30 15:24:09,2,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-30 15:24:09,3,berapaw,BULLISHV2,31116.0,29659.32257,8897.8
2025-05-31 17:26:03,1,beefy,NOICE-WETH,30528.0,138013.21067,41403.96
2025-05-31 17:26:03,2,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-31 17:26:03,3,berapaw,BULLISHV2,28784.0,28862.78918,8658.84
2025-05-31 17:28:38,1,beefy,NOICE-WETH,30528.0,138013.21067,41403.96
2025-05-31 17:28:38,2,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-31 17:28:38,3,berapaw,BULLISHV2,28784.0,28862.78918,8658.84
2025-05-31 17:31:00,1,beefy,NOICE-WETH,30528.0,138013.21067,41403.96
2025-05-31 17:31:00,2,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-31 17:31:00,3,berapaw,BULLISHV2,28784.0,28862.78918,8658.84
2025-05-31 17:40:14,1,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-31 17:40:14,2,berapaw,BULLISHV2,28784.0,28862.78918,8658.84
2025-05-31 17:40:14,3,uniswap-v2,PIGMOONONBASE-WETH,19243.0,15241.60517,4572.48
2025-05-31 17:44:10,1,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-31 17:44:10,2,berapaw,BULLISHV2,28784.0,28862.78918,8658.84
2025-05-31 17:44:10,3,uniswap-v2,PIGMOONONBASE-WETH,19243.0,15241.60517,4572.48
2025-05-31 17:48:56,1,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-31 17:48:56,2,berapaw,BULLISHV2,28784.0,28862.78918,8658.84
2025-05-31 17:48:56,3,uniswap-v2,PIGMOONONBASE-WETH,19243.0,15241.60517,4572.48
2025-05-31 17:53:00,1,beefy,NOICE-WETH,30528.0,138013.21067,41403.96
2025-05-31 17:53:00,2,spectra-v2,STUSD,132448.0,54046.60003,16213.98
2025-05-31 17:53:00,3,berapaw,BULLISHV2,28784.0,28862.78918,8658.84
2025-06-01 12:38:46,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-06-01 12:38:46,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-06-01 12:38:46,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
2025-06-01 12:40:58,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-06-01 12:40:58,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-06-01 12:40:58,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
2025-06-01 12:43:57,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-06-01 12:43:57,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-06-01 12:43:57,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
2025-06-01 12:46:56,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-06-01 12:46:56,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-06-01 12:46:56,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
2025-06-03 17:53:07,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-06-03 17:53:07,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-06-03 17:53:07,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
2025-06-04 16:01:24,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-06-04 16:01:24,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-06-04 16:01:24,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
2025-06-04 16:05:42,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-06-04 16:05:42,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-06-04 16:05:42,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
2025-06-05 18:22:07,1,spectra-v2,STUSD,132448.0,54046.6,108927.58
2025-06-05 18:22:07,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56
2025-06-05 18:22:07,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64
2025-06-06 16:50:14,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-06 16:50:14,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-06 16:50:14,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-06-07 17:34:31,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-07 17:34:31,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-07 17:34:31,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
2025-06-07 17:40:07,1,spectra-v2,STUSD,132448.0,54046.6,108927.58,~148.07 € / 24h
2025-06-07 17:40:07,2,beefy,NOICE-WETH,30528.0,138013.21,62773.56,~378.12 € / 24h
2025-06-07 17:40:07,3,berapaw,BULLISHV2,28784.0,28862.79,28807.64,~79.08 € / 24h
