datetime,pool,score,decision
2025-03-26 15:27:04,USDC/ETH,0.3755,NE PAS investir
2025-03-26 15:27:04,SHIBA/PEPE,0.1975,NE PAS investir
2025-03-26 15:27:04,DAI/MATIC,0.2245,NE PAS investir
2025-03-26 15:35:24,USDC/ETH,0.3755,NE PAS investir
2025-03-26 15:35:24,SHIBA/PEPE,0.1975,NE PAS investir
2025-03-26 15:35:24,DAI/MATIC,0.2245,NE PAS investir
2025-03-27 15:50:22,USDC/ETH,0.3755,NE PAS investir
2025-03-27 15:50:22,SHIBA/PEPE,0.1975,NE PAS investir
2025-03-27 15:50:22,DAI/MATIC,0.2245,NE PAS investir
2025-03-27 15:51:23,USDC/ETH,0.3755,NE PAS investir
2025-03-27 15:51:23,SHIBA/PEPE,0.1975,NE PAS investir
2025-03-27 15:51:23,DAI/MATIC,0.2245,NE PAS investir
2025-03-27 15:57:11,USDC/ETH,0.3755,NE PAS investir
2025-03-27 15:57:11,SHIBA/PEPE,0.1975,NE PAS investir
2025-03-27 15:57:11,DAI/MATIC,0.2245,NE PAS investir
2025-03-27 16:05:14,USDC/ETH,0.57,NE PAS investir
2025-03-27 16:05:14,SHIBA/PEPE,0.38,NE PAS investir
2025-03-27 16:05:14,DAI/MATIC,0.3333,NE PAS investir
2025-03-27 16:25:42,USDC/ETH,0.57,NE PAS investir
2025-03-27 16:25:42,SHIBA/PEPE,0.38,NE PAS investir
2025-03-27 16:25:42,DAI/MATIC,0.3333,NE PAS investir
2025-03-27 16:29:54,USDC/ETH,0.57,NE PAS investir
2025-03-27 16:29:54,SHIBA/PEPE,0.38,NE PAS investir
2025-03-27 16:29:54,DAI/MATIC,0.3333,NE PAS investir
2025-03-27 16:32:24,USDC/ETH,0.57,NE PAS investir
2025-03-27 16:32:24,SHIBA/PEPE,0.38,NE PAS investir
2025-03-27 16:32:24,DAI/MATIC,0.3333,NE PAS investir
2025-03-27 16:35:44,USDC/ETH,0.57,NE PAS investir
2025-03-27 16:35:44,SHIBA/PEPE,0.38,NE PAS investir
2025-03-27 16:35:44,DAI/MATIC,0.3333,NE PAS investir
2025-03-27 16:36:29,USDC/ETH,0.57,NE PAS investir
2025-03-27 16:36:29,SHIBA/PEPE,0.38,NE PAS investir
2025-03-27 16:36:29,DAI/MATIC,0.3333,NE PAS investir
2025-03-27 16:40:53,USDC/ETH,0.7667,INVESTIR
2025-03-27 16:40:53,SHIBA/PEPE,0.3606,NE PAS investir
2025-03-27 16:40:53,DAI/MATIC,0.2583,NE PAS investir
2025-03-27 16:45:58,USDC/ETH,0.9,INVESTIR
2025-03-27 16:45:58,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-27 16:45:58,DAI/MATIC,0.285,NE PAS investir
2025-03-27 16:53:34,USDC/ETH,0.9,INVESTIR
2025-03-27 16:53:34,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-27 16:53:34,DAI/MATIC,0.285,NE PAS investir
2025-03-27 16:56:57,USDC/ETH,0.9,INVESTIR
2025-03-27 16:56:57,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-27 16:56:57,DAI/MATIC,0.285,NE PAS investir
2025-03-27 16:59:15,USDC/ETH,0.9,INVESTIR
2025-03-27 16:59:15,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-27 16:59:15,DAI/MATIC,0.285,NE PAS investir
2025-03-27 19:51:21,USDC/ETH,0.9,INVESTIR
2025-03-27 19:51:21,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-27 19:51:21,DAI/MATIC,0.285,NE PAS investir
2025-03-28 09:55:02,USDC/ETH,0.9,INVESTIR
2025-03-28 09:55:02,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-28 09:55:02,DAI/MATIC,0.285,NE PAS investir
2025-03-28 09:57:14,USDC/ETH,0.9,INVESTIR
2025-03-28 09:57:14,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-28 09:57:14,DAI/MATIC,0.285,NE PAS investir
2025-03-28 09:57:24,USDC/ETH,0.9,INVESTIR
2025-03-28 09:57:24,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-28 09:57:24,DAI/MATIC,0.285,NE PAS investir
2025-03-28 09:57:34,USDC/ETH,0.9,INVESTIR
2025-03-28 09:57:34,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-28 09:57:34,DAI/MATIC,0.285,NE PAS investir
2025-03-28 09:57:41,USDC/ETH,0.9,INVESTIR
2025-03-28 09:57:41,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-28 09:57:41,DAI/MATIC,0.285,NE PAS investir
2025-03-28 10:03:05,USDC/ETH,0.9,INVESTIR
2025-03-28 10:03:05,SHIBA/PEPE,0.0606,NE PAS investir
2025-03-28 10:03:05,DAI/MATIC,0.285,NE PAS investir
